크롤링일,순위,ISBN,상품번호,상품명,정가,판매가,YES포인트,저자,출판사,판매지수,출간일
190225,22,9791162720981,66317933,중학영문법 3800제 2학년 (2019년),"14,800원","13,320","
740원 ","
마더텅 편집부 저
        ",마더텅,73731,2018년 10월 22일,국내도서,중고등참고서,중학교,중2 - 문제집,영어(중등2),
190225,23,9791162721377,66322818,100% 실전대비 MP3 중학영어듣기 24회 모의고사 중학교 1학년 (2019년),"13,000원","11,700","
650원 ","
마더텅 편집부 저
        ",마더텅,58950,2018년 10월 22일,국내도서,중고등참고서,중학교,중학영어전문교재,말하기/듣기,
190225,24,9788961333788,43755950,개념원리 문제기본서 RPM 중 1-1 (2019년용),"14,000원","12,600","
700원 ","
이홍섭 저
        ",개념원리,91584,2017년 07월 09일,국내도서,중고등참고서,중학교,중1 - 문제집,수학(중등1),
190225,25,9791158316990,32456200,워드마스터 Word Master 중등 실력 (2019년용),"10,000원","9,000","
500원 ","
박혜란, 조은정, 홍미정 공저
        ",이투스북 ,107712,2016년 09월 26일,국내도서,중고등참고서,중학교,중1 문제집,영어,
190225,26,9788928326334,63804456,일품 중등 수학 2 (상) (2019년),"12,000원","10,800","
600원 ","
홍범준, 신사고수학콘텐츠연구회 공저
        ",좋은책신사고,45696,2018년 08월 16일,국내도서,중고등참고서,중학교,중2 - 문제집,수학(중등2),
190225,27,9788961334303,61941573,개념원리 문제기본서 RPM 중 2-1 (2019년),"14,000원","12,600","
700원 ","
이홍섭 저
        ",개념원리,66309,2018년 07월 01일,국내도서,중고등참고서,중학교,중2 - 문제집,수학(중등2),
190225,28,9788954743280,43876611,EBS 고등 예비과정 통합과학 (2019년용),"8,000원","7,200","
80원 ","
            편집부
        ",한국교육방송공사,104163,2017년 07월 13일,국내도서,중고등참고서,EBS 방송교재,EBS 고등학교,고교공통,
190225,29,9788959902682,15125900,숨마 주니어 중학 국어 어휘력 1,"10,000원","9,000","
500원 ","
            편집부 저
        ",이룸E&B(이룸이앤비),79737,2014년 10월 30일,국내도서,중고등참고서,중학교,중1 문제집,국어,
190225,30,9791162720998,66317948,중학영문법 3800제 3학년 (2019년),"14,800원","13,320","
740원 ","
마더텅 편집부 저
        ",마더텅,63294,2018년 10월 22일,국내도서,중고등참고서,중학교,중3 - 문제집,영어(중등3),
190225,31,9788961333207,13779392,개념원리 문제기본서 RPM 중 3-1 (2019년용),"15,000원","13,500","
750원 ","
이홍섭 저
        ",개념원리,68673,2014년 07월 11일,국내도서,중고등참고서,중학교,중3 - 문제집,수학(중등3),
